id,product,quantity,price
1,Product A,20,100
2,Product B,10,200
3,Product F,3,300
4,Product G,8,250
5,Product H,15,90
6,Product I,6,180
7,Product J,9,220
8,Product K,4,150
9,Product L,5,200
10,Product M,7,120
11,Product A,21,100
12,Product B,11,200
13,Product F,4,300
14,Product G,9,250
15,Product H,16,90
16,Product I,7,180
17,Product J,10,220
18,Product K,5,150
19,Product L,6,200
20,Product M,8,120
21,Product A,22,100
22,Product B,12,200
23,Product F,5,300
24,Product G,10,250
25,Product H,17,90
26,Product I,8,180
27,Product J,11,220
28,Product K,6,150
29,Product L,7,200
30,Product M,9,120
31,Product A,23,100
32,Product B,13,200
33,Product F,6,300
34,Product G,11,250
35,Product H,18,90
36,Product I,9,180
37,Product J,12,220
38,Product K,7,150
39,Product L,8,200
40,Product M,10,120
41,Product A,24,100
42,Product B,14,200
43,Product F,7,300
44,Product G,12,250
45,Product H,19,90
46,Product I,10,180
47,Product J,13,220
48,Product K,8,150
49,Product L,9,200
50,Product M,11,120
